compound,n1,n2,n3
humbug,hum,bug,
pastureland,pasture,land,
alleyway,alley,way,
earmark,ear,mark,
roundup,round,up,
headboard,head,board,
wrongdoing,wrong,doing,
openhanded,open,handed,
freshwater,fresh,water,
cowboy,cow,boy,
sunlight,sun,light,
coldsore,cold,sore,
jackknife,jack,knife,
knapsack,knap,sack,
kindhearted,kind,hearted,
whereupon,where,upon,
starlight,star,light,
dishcloth,dish,cloth,
outlet,out,let,
namesake,name,sake,
doorman,door,man,
frostbite,frost,bite,
rainbowfish,rainbow,fish,
overthrow,over,throw,
skylight,sky,light,
bilingual,bi,lingual,
homeboy,home,boy,
someplace,some,place,
outlive,out,live,
thoroughfare,thorough,fare,
warehouse,ware,house,
keepsake,keep,sake,
overlying,over,lying,
racecar,race,car,
butterfat,butter,fat,
pinpoint,pin,point,
outdoor,out,door,
rainout,rain,out,
seaweed,sea,weed,
cooktop,cook,top,
whitewall,white,wall,
coastline,coast,line,
outcast,out,cast,
hotspring,hot,spring,
offhand,off,hand,
corncob,corn,cob,
barrack,bar,rack,
nutshell,nut,shell,
bobtail,bob,tail,
photocopy,photo,copy,
multidiscipline,multi,discipline,
bluecollar,blue,collar,
scarylooking,scary,looking,
partnership,partner,ship,
speakeasy,speak,easy,
setback,set,back,
slaughterhouse,slaughter,house,
benchmark,bench,mark,
upwelling,up,welling,
gingerbread,ginger,bread,
everybody,every,body,
undertaker,under,taker,
anybody,any,body,
entrylevel,entry,level,
policeacademy,police,academy,
tailspin,tail,spin,
windsock,wind,sock,
upstate,up,state,
wholehearted,whole,hearted,
eyesight,eye,sight,
haystack,hay,stack,
marksman,marks,man,
eyeopening,eye,opening,
bullfrog,bull,frog,
campfire,camp,fire,
firearm,fire,arm,
duckbill,duck,bill,
dimlight,dim,light,
lifeguard,life,guard,
keystone,key,stone,
thunderbolt,thunder,bolt,
oatmeal,oat,meal,
outspoken,out,spoken,
bucktoothed,buck,toothed,
cutback,cut,back,
teardrop,tear,drop,
doorknob,door,knob,
stockbroker,stock,broker,
nobody,no,body,
threadbare,thread,bare,
outside,out,side,
turncoat,turn,coat,
sweetheart,sweet,heart,
handbook,hand,book,
ballplayer,ball,player,
stepsister,step,sister,
redhot,red,hot,
pawnbroker,pawn,broker,
roadbed,road,bed,
slipknot,slip,knot,
sunup,sun,up,
traphouse,trap,house,
footstool,foot,stool,
pinecone,pine,cone,
washstand,wash,stand,
powerboat,power,boat,
stonewall,stone,wall,
linedancing,line,dancing,
windstorm,wind,storm,
lighthearted,light,hearted,
oxbow,ox,bow,
breadbasket,bread,basket,
supernova,super,nova,
farmyard,farm,yard,
bluefin,blue,fin,
blackpink,black,pink,
paperweight,paper,weight,
pancake,pan,cake,
stowaway,stow,away,
triggerfish,trigger,fish,
seaside,sea,side,
twotoned,two,toned,
bloodshot,blood,shot,
farewell,fare,well,
yellowtail,yellow,tail,
bluegill,blue,gill,
ringside,ring,side,
streamline,stream,line,
inhome,in,home,
cuttlefish,cuttle,fish,
walkingstick,walking,stick,
sportscaster,sports,caster,
wildfire,wild,fire,
somehow,some,how,
downtown,down,town,
bottomdown,bottom,down,
koreanpop,korean,pop,
underweight,under,weight,
childlike,child,like,
bedtime,bed,time,
pinprick,pin,prick,
matchstick,match,stick,
overflow,over,flow,
cottonmouth,cotton,mouth,
offshoot,off,shoot,
teashop,tea,shop,
butterscotch,butter,scotch,
offspring,off,spring,
bluebook,blue,book,
upward,up,ward,
footrest,foot,rest,
anyone,any,one,
sundial,sun,dial,
starship,star,ship,
hollyhock,holly,hock,
overfill,over,fill,
stepfather,step,father,
marketplace,market,place,
freshman,fresh,man,
password,pass,word,
swallowtail,swallow,tail,
seatbelt,seat,belt,
craftsman,crafts,man,
seaway,sea,way,
rustroof,rust,roof,
hamburger,ham,burger,
wingspan,wing,span,
birthrate,birth,rate,
downpour,down,pour,
northwest,north,west,
sawmill,saw,mill,
pickax,pick,ax,
badlands,bad,lands,
whenever,when,ever,
seacoast,sea,coast,
sandbox,sand,box,
hedgehog,hedge,hog,
nightgown,night,gown,
outhouse,out,house,
nevertheless,never,the,less
timesheet,time,sheet,
tumbledown,tumble,down,
eyewitness,eye,witness,
mealtime,meal,time,
overachieve,over,achieve,
downfall,down,fall,
babysit,baby,sit,
shortcake,short,cake,
blowfish,blow,fish,
bookmark,book,mark,
nighttime,night,time,
singsong,sing,song,
houseflies,house,flies,
breadroot,bread,root,
airspace,air,space,
familyowned,family,owned,
handball,hand,ball,
